Usuario,Encargada,URL,Seguidores,Following,Posts,Posts Semana,Avg Likes,Avg Comments,Engagement Rate (%),Última Actualización
clinica_javier_miranda,Amanda,https://www.instagram.com/clinica_javier_miranda/?hl=es,1568,3071,770,2,N/A,N/A,N/A,2026-04-21
dentalinfanteclinica,Amanda,https://www.instagram.com/dentalinfanteclinica/?hl=es,295,438,220,3,1.0,N/A,0.34,2026-04-21
equialia,Rosi,https://www.instagram.com/equialia/?hl=es,9905,290,683,5,30.4,0.8,0.32,2026-04-21
fraymendel,Rosi,https://www.instagram.com/fraymendel/?hl=es,487,436,715,1,4.0,N/A,1.03,2026-04-21
hyundaidelgautomotor,Rosi,https://www.instagram.com/hyundaidelgautomotor/?fbclid=IwZXh0bgNhZW0CMTEAAR1fEZ52PZbGjZITh-7IW26V8SZr8DlCITCa_BlGL5Hh-YkF3WMeMO5bujk_aem_RkBDlntEmCKBw6fLRr47Ww,390,326,676,3,0.3,N/A,0.09,2026-04-21
clinicaramonycajal,Amanda,https://www.instagram.com/clinicaramonycajal/?fbclid=IwZXh0bgNhZW0CMTEAAR02Twf4GCAIKEHzR6uCcwYP3_iYykqtvUpAhnXHCMl1SfIyQO2yQZ7ZXWU_aem_uxigSi2Ku4i7QSXJdN2xeg,639,615,320,2,1.5,N/A,0.23,2026-04-21
rtecandida,Rosi,https://www.instagram.com/rtecandida/?fbclid=IwZXh0bgNhZW0CMTEAAR1wiAWM5gbvpCTWZY05NfP-DaHmQxqRg0hVBiKrhHjCNPtceyuFk8QCEN0_aem_Js3OGvt2jb7coi3cAZCQyw,6884,2681,947,3,21.0,N/A,0.31,2026-04-21
sobre2ruedasbikes,Amanda,https://www.instagram.com/sobre2ruedasbikes/?fbclid=IwZXh0bgNhZW0CMTEAAR0xPm1ygw_aDtvhi4EJwqBL5yp5RqYoWNwuPniU-bn6KeOThdCsvfMuZuc_aem_ZkTWh21VpVDpg9sNdT6n-Q,1329,558,575,3,15.7,N/A,1.18,2026-04-21
fincaeslava,Rosi,https://www.instagram.com/fincaeslava/,1884,788,449,1,4.0,N/A,0.21,2026-04-21
cemanacardenas,Amanda,https://www.instagram.com/cemanacardenas/?hl=es,798,192,325,4,61.8,2.5,8.83,2026-04-21
dagdaconsultores,Amanda,https://www.instagram.com/dagdaconsultores/?hl=es,265,129,694,3,7.0,0.3,2.77,2026-04-21
galindo_opticos,Amanda,https://www.instagram.com/galindo_opticos/?hl=es,867,731,81,N/A,N/A,N/A,N/A,2026-04-21
cafealafuerza,Rosi,https://www.instagram.com/cafealafuerza/?hl=es,915,683,615,3,7.3,N/A,0.8,2026-04-21
areaservicioelpuente,Rosi,https://www.instagram.com/areaservicioelpuente/?hl=es,339,135,933,3,3.3,N/A,0.98,2026-04-21
arxiduna,Rosi,https://www.instagram.com/arxiduna/?hl=es,2307,1224,804,3,74.3,3.3,3.37,2026-04-21
asadorarjona,Rosi,https://www.instagram.com/asadorarjona/,541,293,497,3,0.7,N/A,0.12,2026-04-21
autodesguacelaslagunas,Rosi,https://www.instagram.com/autodesguacelaslagunas/?hl=es,252,31,544,3,0.3,N/A,0.13,2026-04-21
clivet_azahar,Rosi,https://www.instagram.com/clivet_azahar/?hl=es,908,2030,315,3,1.7,N/A,0.18,2026-04-21
poligonodeantequera,Rosi,https://www.instagram.com/poligonodeantequera/?hl=es,1063,250,587,2,3.5,0.5,0.38,2026-04-21
construccionesmelerosur,Rosi,https://www.instagram.com/construccionesmelerosur/?fbclid=IwZXh0bgNhZW0CMTEAAR0JO-UvozclqE5L62JtXE3UU3hY_5gN6KVu0ETdgOwMfJ59vy397aDBhR8_aem_nf8YVS7P6gTZhYcSCjyTNg,480,276,269,3,0.7,N/A,0.14,2026-04-21
centromedicocoral,Rosi,https://www.instagram.com/centromedicocoral/?hl=es,480,66,688,3,0.3,N/A,0.07,2026-04-21
instalacioneselectricascyl,Rosi,https://www.instagram.com/instalacioneselectricascyl/?hl=es,830,2414,213,3,1.7,N/A,0.2,2026-04-21
electroangeluztien21,Rosi,https://www.instagram.com/electroangeluztien21/?hl=es,186,361,560,2,0.5,N/A,0.27,2026-04-21
